focus_element,sibling
AccountsNotesAndLoansReceivableNetCurrent,DueFromJointVenturesCurrent
AccruedLiabilitiesCurrent,EmployeeRelatedLiabilitiesCurrent
AssetsCurrent,CustomerFunds
AssetsCurrent,DeferredSalesCommission
AssetsCurrent,EstimatedInsuranceRecoveries
AssetsCurrent,InventoryRealEstate
AssetsNoncurrent,DeferredOfferingCosts
CostOfGoodsSold,CostOfPurchasedPower
CostOfGoodsSold,FoodAndBeverageCostOfSales
CostOfRevenue,AmortizationOfMortgageServicingRightsMSRs
CostOfRevenue,BusinessDevelopment
FinancialServicesRevenue,GainLossOnSalesOfLoansNet
GainLossOnInvestments,ForeignCurrencyTransactionGainLossUnrealized
GainLossOnInvestments,GainLossOnDerivativeInstrumentsNetPretax
GainLossOnInvestments,GainLossOnSaleOfDerivatives
GainLossOnInvestments,UnrealizedGainLossOnDerivativesAndCommodityContracts
GrantsReceivableNoncurrent,LongTermInvestmentsAndReceivablesNet
Investments,DerivativeAssets
Investments,FederalHomeLoanBankStock
Investments,FederalReserveBankStock
Investments,RealEstateInvestments
LaborAndRelatedExpense,SalariesAndWages
Liabilities,WarrantsAndRightsOutstanding
LiabilitiesCurrent,DeferredGainOnSaleOfProperty
LongTermInvestmentsAndReceivablesNet,RestrictedCashAndInvestmentsNoncurrent
MarketableSecurities,AvailableForSaleSecuritiesDebtSecurities
MarketableSecurities,DerivativeAssets
MarketableSecurities,HeldToMaturitySecurities
MarketableSecurities,SecuritiesBorrowed
MarketableSecurities,TradingSecurities
NoninterestExpense,EquitySecuritiesFvNiRealizedGainLoss
NoninterestExpense,FloorBrokerageExchangeAndClearanceFees
NoninterestExpense,GainLossOnSaleOfPropertyPlantEquipment
NoninterestExpense,GainsLossesOnSalesOfAssets
NonoperatingIncomeExpense,IncomeLossFromEquityMethodInvestments
NonoperatingIncomeExpense,InterestAndDebtExpense
OperatingExpenses,AmortizationOfValueOfBusinessAcquiredVOBA
OperatingExpenses,AssetManagementCosts
OperatingExpenses,DeferredPolicyAcquisitionCostAmortizationExpense
OperatingExpenses,ExplorationExpenseMining
OperatingExpenses,FloorBrokerageExchangeAndClearanceFees
OperatingExpenses,GainLossOnSaleOfDerivatives
OperatingExpenses,GainLossOnSaleOfSecuritiesNet
OperatingExpenses,GainsLossesOnSalesOfAssets
OperatingExpenses,LiabilityForFuturePolicyBenefitsPeriodExpense
OperatingExpenses,OtherExpenses
OperatingExpenses,OtherOperatingIncomeExpenseNet
OperatingExpenses,PolicyholderBenefitsAndClaimsIncurredNet
OperatingExpenses,RealEstateInsurance
OperatingExpenses,RealEstateTaxExpense
OperatingIncomeLoss,IncomeLossFromEquityMethodInvestments
OtherAssets,Assets
OtherAssets,Investments
OtherAssetsCurrent,AssetsCurrent
OtherAssetsNoncurrent,AssetsNoncurrent
OtherLiabilities,Liabilities
OtherLiabilitiesCurrent,LiabilitiesCurrent
OtherLiabilitiesNoncurrent,LiabilitiesNoncurrent
ProfitLoss,GainsLossesOnSalesOfInvestmentRealEstate
PropertyPlantAndEquipmentNet,OilAndGasPropertyFullCostMethodNet
PropertyPlantAndEquipmentNet,OilAndGasPropertySuccessfulEffortMethodNet
PropertyPlantAndEquipmentOther,OilAndGasPropertyFullCostMethodNet
PropertyPlantAndEquipmentOther,OilAndGasPropertySuccessfulEffortMethodNet
PropertyPlantAndEquipmentOther,PropertyPlantAndEquipmentNet
RealEstateInvestmentPropertyAtCost,LandAndLandImprovements
RealEstateInvestments,EquityMethodInvestments
RealEstateInvestments,InventoryRealEstateHeldForSale
RealEstateInvestments,LandAndLandImprovements
RealEstateInvestments,RealEstateInvestmentPropertyNet
RealEstateInvestments,RealEstateInvestmentsUnconsolidatedRealEstateAndOtherJointVentures
RealEstateRevenueNet,OperatingLeasesIncomeStatementLeaseRevenue
RealizedInvestmentGainsLosses,DebtAndEquitySecuritiesRealizedGainLoss
RealizedInvestmentGainsLosses,EquityMethodInvestmentRealizedGainLossOnDisposal
RealizedInvestmentGainsLosses,GainLossOnSaleOfSecuritiesNet
RealizedInvestmentGainsLosses,GainLossOnSecuritizationOfFinancialAssets
RealizedInvestmentGainsLosses,GainOnSaleOfInvestments
RestructuringSettlementAndImpairmentProvisions,DefinedBenefitPlanRecognizedNetGainLossDueToSettlements1
NetCashProvidedByUsedInFinancingActivities,ProceedsFromAdvancesForConstruction
NetCashProvidedByUsedInFinancingActivities,RepaymentsOfAdvancesForConstruction
InterestExpenseDebt,AmortizationOfFinancingCosts
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,NetIncomeLossAttributableToRedeemableNoncontrollingInterest